rgb_cervix_r_mean,rgb_cervix_r_std,rgb_cervix_r_mean_minus_std,rgb_cervix_r_mean_plus_std,rgb_cervix_g_mean,rgb_cervix_g_std,rgb_cervix_g_mean_minus_std,class
72.56089479,19.99011042,52.57078437,92.55100521,56.27237451,17.06452276,39.20785176,1
46.96904238,25.3816771,21.58736528,72.35071947,35.24670708,18.21148809,17.03521898,1
42.37104235,17.40183663,24.96920572,59.77287898,30.37771012,13.21775174,17.15995839,1
63.52556856,23.71546097,39.81010759,87.24102954,47.45054378,19.83474388,27.61579991,1
89.79843162,16.84907528,72.94935633,106.6475069,66.16846775,13.78424563,52.38422211,1
98.28591212,40.55846774,57.72744438,138.8443799,71.14843122,32.50050911,38.64792211,1
20.12631076,11.89163426,8.234676497,32.01794502,16.68795892,9.480816992,7.207141923,1
53.38462127,31.01671043,22.36791084,84.4013317,56.2984171,29.58626306,26.71215404,1
96.17377638,20.96787335,75.20590303,117.1416497,75.9740559,15.57187667,60.40217924,1
60.99549956,22.7437659,38.25173366,83.73926546,49.56543575,16.04112911,33.52430664,0
76.58859446,30.94975256,45.6388419,107.538347,52.23099227,28.71699035,23.51400192,1
53.69488592,52.84162937,0.853256547,106.5365153,49.15373721,48.39749036,0.756246857,1
64.88053949,26.93971447,37.94082502,91.82025395,40.66907537,22.57381564,18.09525972,1
44.01149829,49.35351081,-5.342012525,93.3650091,50.92816684,52.0985222,-1.170355356,1
45.93890176,29.03324251,16.90565925,74.97214427,41.14158162,27.27993092,13.86165069,1
42.10331182,28.51333524,13.58997658,70.61664706,36.12564052,24.00790673,12.11773379,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
85.28215854,43.55214745,41.73001108,128.834306,52.63498406,38.28068181,14.35430225,1
59.4254536,28.23255566,31.19289794,87.65800925,49.36648443,24.3794993,24.98698513,1
21.81951134,22.35454651,-0.535035167,44.17405785,24.73047628,19.32842016,5.402056121,1
28.90354332,37.91592554,-9.012382224,66.81946885,26.97627452,31.81957698,-4.843302455,1
13.48694039,18.96069304,-5.473752655,32.44763343,8.673494441,15.27381793,-6.600323491,1
70.24970177,28.45916125,41.79054052,98.70886302,61.05031732,21.42839128,39.62192604,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
41.7194717,31.16203775,10.55743395,72.88150945,25.5618159,26.70513216,-1.143316265,1
24.94323525,31.44896319,-6.505727943,56.39219843,25.31578678,29.1885007,-3.872713925,1
17.44676645,34.11851061,-16.67174416,51.56527707,15.752571,28.84212479,-13.08955379,1
3.416988976,16.06382914,-12.64684016,19.48081811,2.693486619,14.71661992,-12.02313331,0
55.14685741,37.3973476,17.74950981,92.54420501,38.23372307,29.2529755,8.980747572,1
33.34615216,41.51086667,-8.16471451,74.85701883,22.43572329,35.15954881,-12.72382552,1
1.203386032,7.901514863,-6.698128831,9.104900894,1.100322397,8.593924937,-7.493602539,0
61.53829114,43.15158909,18.38670204,104.6898802,37.02008932,28.9047322,8.115357116,1
57.06977573,52.22392311,4.845852625,109.2936988,70.91847613,56.57215994,14.34631619,1
75.99879072,32.61509576,43.38369496,108.6138865,101.2812842,40.51927763,60.76200653,1
29.08816555,14.48922118,14.59894437,43.57738673,29.19205213,14.62292073,14.5691314,0
26.99421728,30.55217207,-3.557954791,57.54638934,25.72731245,25.73031578,-0.003003334,1
4.458791512,19.98448495,-15.52569344,24.44327646,3.018453664,15.78840097,-12.7699473,1
9.380796881,22.92726882,-13.54647194,32.3080657,8.137018504,20.03957497,-11.90255647,1
38.52753383,28.07266744,10.45486639,66.60020126,21.3559393,23.39100888,-2.035069574,1
43.2806959,24.91860487,18.36209103,68.19930077,30.04205648,20.15734132,9.884715156,1
79.85715702,73.47717215,6.379984872,153.3343292,79.83896394,67.93217947,11.90678447,1
100.5485638,31.02946132,69.51910247,131.5780251,78.52255639,24.62965329,53.8929031,1
16.56252643,27.22159448,-10.65906805,43.78412091,13.15612579,25.78209007,-12.62596428,1
63.39737017,57.90280511,5.49456506,121.3001753,67.66889148,57.6352188,10.03367268,1
34.80741511,38.08738146,-3.279966354,72.89479658,41.29340648,43.20049141,-1.907084933,1
29.78801453,37.95382532,-8.165810792,67.74183985,38.24415532,42.90085264,-4.656697315,0
24.90278185,39.2305915,-14.32780965,64.13337335,23.6254762,38.94918085,-15.32370465,0
88.17389526,64.98523844,23.18865682,153.1591337,88.91744594,65.72485244,23.19259351,1
43.93623337,29.40034013,14.53589325,73.3365735,46.32756441,33.7748712,12.55269321,1
41.7564201,43.14160829,-1.385188191,84.89802839,45.89964433,41.77148003,4.128164295,1
37.39685107,42.43143251,-5.034581445,79.82828358,38.72916613,37.57785328,1.151312854,0
104.3272031,81.4999126,22.82729052,185.8271157,97.76309863,69.47219266,28.29090597,0
35.877768,36.44583001,-0.568062014,72.32359801,35.41425805,35.08993973,0.324318328,1
39.74872896,63.7664068,-24.01767784,103.5151358,38.89686053,60.4842441,-21.58738357,1
53.98583963,47.66465874,6.321180891,101.6504984,69.94459189,52.04475106,17.89984083,1
13.58859483,33.75298437,-20.16438955,47.3415792,12.12300312,31.47192745,-19.34892433,1
66.53132472,25.37212804,41.15919668,91.90345276,64.87928114,24.90777145,39.97150969,1
28.33761501,41.61886833,-13.28125332,69.95648334,34.55510561,46.2359951,-11.68088949,1
36.627612,44.52576523,-7.898153233,81.15337723,41.38077317,44.21431343,-2.833540259,1
85.60301235,50.00576724,35.59724511,135.6087796,93.60497724,52.33639572,41.26858153,1
37.65236171,35.92559173,1.726769983,73.57795344,38.31785907,36.55649014,1.761368934,1
88.09502351,22.76072721,65.3342963,110.8557507,59.39566088,19.82206122,39.57359966,1
35.53059793,46.96678241,-11.43618449,82.49738034,33.21476904,45.9262125,-12.71144346,1
66.89473121,49.60056495,17.29416626,116.4952962,74.12199907,54.29396383,19.82803525,1
38.41431863,46.36419893,-7.949880303,84.77851756,40.82289708,47.06965011,-6.24675303,1
33.34366416,44.087011,-10.74334684,77.43067515,41.61497357,50.72531087,-9.1103373,1
34.76608187,48.91766009,-14.15157822,83.68374197,39.91727006,50.46122546,-10.5439554,1
64.34657866,30.48580034,33.86077833,94.832379,40.59858077,25.14323653,15.45534424,1
34.14546765,39.19779954,-5.052331894,73.34326719,31.73680959,36.93740544,-5.200595849,1
48.83983751,58.6768778,-9.837040294,107.5167153,46.75940208,55.83849674,-9.079094654,0
22.05812157,40.33814325,-18.28002168,62.39626481,21.30832585,38.43679231,-17.12846646,1
48.51191881,28.32238564,20.18953317,76.83430445,58.41368893,40.8844511,17.52923783,1
24.9398308,19.61518293,5.324647868,44.55501374,18.88068142,16.60850482,2.2721766,1
13.38505429,27.48446827,-14.09941398,40.86952256,3.956221039,18.6901791,-14.73395806,0
76.65859208,44.58590776,32.07268432,121.2444998,38.17951303,43.71207014,-5.532557112,0
60.46705057,33.95278377,26.5142668,94.41983433,51.37062643,29.7164689,21.65415753,0
53.55736067,32.22083837,21.33652229,85.77819904,43.33588553,26.83735909,16.49852644,1
65.98090761,38.21003043,27.77087718,104.190938,45.73759304,30.5154694,15.22212364,0
88.40709041,29.08073971,59.3263507,117.4878301,65.30392866,25.58032934,39.72359932,1
74.81257561,24.18680193,50.62577368,98.99937754,60.19221892,20.24354133,39.94867758,1
89.85215132,43.03647405,46.81567727,132.8886254,66.00075108,38.14116675,27.85958434,1
72.03042321,37.38633482,34.6440884,109.416758,59.99542768,32.57407273,27.42135494,1
80.1081399,40.60974607,39.49839383,120.717886,64.83161249,30.28369181,34.54792069,0
58.33452264,37.05586306,21.27865958,95.3903857,44.07017717,30.54757643,13.52260074,0
31.86548498,17.74480163,14.12068335,49.61028662,29.06043524,14.50083499,14.55960025,0
73.46586199,33.85682427,39.60903772,107.3226863,44.65798406,35.51445263,9.143531429,0
36.27993553,23.32505021,12.95488533,59.60498574,31.54922161,23.09970617,8.449515441,1
74.76647203,33.66700554,41.09946649,108.4334776,44.11316621,29.55568773,14.55747848,1
87.55477016,18.58858635,68.96618381,106.1433565,52.50984216,15.47616658,37.03367558,0
37.25946562,29.71838657,7.54107905,66.97785218,39.27529266,27.84095486,11.43433781,0
